skeleton	length	word	p.as.self	freq
VCWCW	5	orator	0.021164767944627506	4.787491742782046
VCWCW	5	apogee	0.02668020230626908	1.791759469228055
VCWCW	5	inertia	0.1508097320983459	4.02535169073515
VCWCW	5	edify	0.007840098291726568	1.791759469228055
VCWCW	5	amity	0.030819118342896672	4.127134385045092
VCWCW	5	acacia	0.03951564328555456	1.791759469228055
VCWCW	5	overshoe	0.039664024363318284	0.6931471805599453
VCWCW	5	ideally	0.031884851142861326	5.886104031450156
VCWCW	5	attorney	0.04604217790465067	10.314006534946971
VCWCW	5	enema	0.08857759140018266	3.6888794541139363
VCWCW	5	another	0.049451846909874336	11.459777820759337
VCWCW	5	aroma	0.08417270769515643	5.337538079701318
VCWCW	5	uppity	0.006676943062239651	3.912023005428146
VCWCW	5	arena	0.10412917038402486	7.707062655370473
VCWCW	5	enemy	0.1258120690513413	9.068776807654396
VCWCW	5	amateur	0.13031652734204088	7.045776576879511
VCWCW	5	entity	0.051821421682672855	7.035268599281097
VCWCW	5	aloha	0.021332929769685552	4.605170185988092
VCWCW	5	overly	0.032327016111025994	6.648984550024776
VCWCW	5	odyssey	0.013529158127474732	6.113682179832232
VCWCW	5	apathy	0.00038636843903163776	5.2574953720277815
VCWCW	5	irony	0.1387548798801659	7.438383530044307
VCWCW	5	attache	0.03575114498090012	5.4116460518550396
VCWCW	5	aurora	0.0900690499395804	5.298317366548036
VCWCW	5	adobe	0.009185445332765389	4.0943445622221
VCWCW	5	oddity	0.005354653351058106	4.836281906951478
VCWCW	5	opener	0.028363294595644562	5.488937726156687
VCWCW	5	amoeba	0.027199691219632713	2.6390573296152584
VCWCW	5	officer	0.015828258686435656	10.114882356815789
VCWCW	5	uneasy	0.06906810781753023	6.4425401664681985
VCWCW	5	auditor	0.006211027908032512	5.8289456176102075
VCWCW	5	imago	0.06502929530744196	4.882801922586371
VCWCW	5	agony	0.0715691276841654	6.542471960506805
CVFCWCWCWCVF	12	vulcanization	0.00023679239759506	0.6931471805599453
CVFCWCWCWCVF	12	cosmological	4.354506643756717e-05	4.718498871295094
CVFCWCWCWCVF	12	magnetization	0.00028822282083883866	2.0794415416798357
CVFCWCWCWCVF	12	justification	0.00010184498937953221	6.728628613084702
CVFCWCWCWCVF	12	morphological	8.082896311765458e-05	1.791759469228055
CVFCWCWCWCVF	12	multitudinous	6.21229788474341e-05	1.791759469228055
CVFCWCWCWCVF	12	sensitization	0.0002726670143959863	0.6931471805599453
CVFCWCWCWCVF	12	pharmaceutical	4.8782114734981025e-05	7.2399325913204695
CVFCWCWCWCVF	12	rectification	0.00012696994868303523	2.302585092994046
CVFCWCWCWCVF	12	mortification	9.073838062686131e-05	1.791759469228055
CVFCWCWCWCVF	12	metropolitan	6.570746983046109e-05	6.804614520062624
CVFCWCWCWCVF	12	concatenation	9.103483449664753e-05	1.3862943611198906
CVFCWCWCWCVF	12	nationalization	0.0015731972880180444	4.477336814478207
CVFCWCWCWCVF	12	magnification	0.00018748038399862694	3.1780538303479458
CVFCWCWCWCVF	12	hybridization	9.74640486289317e-05	1.791759469228055
CVFCWCWCWCVF	12	conservatism	2.19489079013799e-05	6.39024066706535
CVFCWCWCWCVF	12	communicable	0.00010697979710509964	4.248495242049359
CVFCWCWCWCVF	12	longitudinal	6.637499569482903e-05	3.58351893845611
CVFCWCWCWCVF	12	calcification	0.00010432018738807397	2.8903717578961645
CVFCWCWCWCVF	12	neutralization	0.001079458819571495	1.791759469228055
CVFCWCWCWCVF	12	victimization	9.731853835712878e-05	4.912654885736052
CVFCWCWCWCVF	12	mystification	9.265712321756242e-05	2.0794415416798357
CVFCWCWCWCVF	12	harmonization	0.0006882649900731844	2.302585092994046
CVFCWCWCWCVF	12	fortification	2.8739256232090555e-05	4.248495242049359
CVFCWCWCWCVF	12	unionization	0.00162837607518787	3.258096538021482
CVFCWCWCWCVF	12	cartilaginous	0.00024123186521317095	0.6931471805599453
CVFCWCWCWCVF	12	technological	0.00012875373144708926	6.716594773520978
CVFCWCWCWCVF	12	falsification	4.811422312751363e-05	3.9512437185814275
CVFCWCWCWCVF	12	cosmopolitan	6.596616148803572e-06	5.384495062789089
CWCVFCWCWCVF	12	malapropism	6.328906715459145e-05	1.3862943611198906
CWCVFCWCWCVF	12	tuberculosis	0.00019523028321250834	6.1903154058531475
CWCVFCWCWCVF	12	misinformation	0.0009601790102842988	5.981414211254481
CWCVFCWCWCVF	12	hypocritical	4.705685712590338e-05	5.918893854273146
CWCVFCWCWCVF	12	monasticism	0.00024575474911637727	0.6931471805599453
CWCVFCWCWCVF	12	melodramatic	0.0003386458232865634	4.276666119016055
CWCVFCWCWCVF	12	decontaminate	0.00010087022199203035	2.772588722239781
CWCVFCWCWCVF	12	misapplication	0.000607211864633212	2.0794415416798357
CWCVFCWCWCVF	12	sophisticated	1.8925081741724845e-05	7.875499292445208
CWCVFCWCWCVF	12	decomposition	1.5735161985793415e-05	4.406719247264253
CWCVFCWCWCVF	12	disapprobation	0.0001472365590964903	0.6931471805599453
CWCVFCWCWCVF	12	hypercritical	7.334126807956701e-05	1.3862943611198906
CWCVFCWCWCVF	12	romanticism	0.00027417478565936154	4.060443010546419
CWCVFCWCWCVF	12	manipulation	0.001915585752625753	6.467698726104354
CWCVFCWCWCW	11	vocabulary	0.0003043706319519932	6.186208623900494
CWCVFCWCWCW	11	momentarily	0.000999716210883403	5.627621113690637
CWCVFCWCWCW	11	receptivity	0.00010170369462419696	3.332204510175204
CWCVFCWCWCW	11	domesticity	0.00014129188909781229	3.091042453358316
CWCVFCWCWCW	11	familiarity	0.0004628225531904232	5.135798437050262
CWCVFCWCWCW	11	gerontology	0.0004332525891763297	2.995732273553991
CWCVFCWCWCW	11	reformatory	0.0004650111570850546	2.8903717578961645
CWCVFCWCWCW	11	voluntarily	0.00011973190281836101	7.01211529430638
CWCVFCWCWCW	11	tercentenary	0.0005009564390779866	0.6931471805599453
CWCVFCWCWCW	11	disciplinary	0.0007609753173896612	5.799092654460526
CWCVFCWCWCW	11	reciprocity	0.00034086014821858813	4.219507705176107
VFCVFVF	7	adhesion	0.009348114818365548	1.791759469228055
VFCVFVF	7	incision	0.01848766128358647	5.267858159063328
VFCVFVF	7	incursion	0.01122382451989412	5.793013608384144
VFCVFVF	7	inversion	0.007774187233404501	2.8903717578961645
VFCVFVF	7	equation	0.025661401107994763	7.106606137727303
VFCVFVF	7	invasion	0.006160271334518107	8.302017809751204
VCVFCVF	7	apportion	0.0085385469126088	3.258096538021482
VCVFCVF	7	anarchic	0.011009977904134369	2.995732273553991
VCVFCVF	7	appointive	0.001718064680622934	1.791759469228055
VCVFCVF	7	abortion	0.00759608964459631	9.365975663507632
VCVFCVF	7	aborning	0.0045898257829374185	0.6931471805599453
VCVFCVF	7	elongate	0.0038304786277261324	3.4011973816621555
VCVFCVF	7	addendum	0.001048532626663674	3.6888794541139363
VCVFCVF	7	edelweiss	0.008308809542048002	0.6931471805599453
VCVFCVF	7	opinion	0.004859076447575317	9.773037123152063
VCVFCVF	7	adjective	0.007962729440628317	5.71042701737487
VCVFCVF	7	unending	0.00409235357161213	4.700480365792417
VCVFCVF	7	emigrate	0.018219857528113365	4.30406509320417
VCVFCVF	7	assumption	0.01640229652796581	7.665753431861699
VCVFCVF	7	election	0.025258800567699843	10.575360022817218
VCVFCVF	7	offensive	0.0048739038153487	8.228443883004033
VCVFCVF	7	ephedrine	0.0057889171306035785	4.060443010546419
VCVFCVF	7	adequate	0.010350994857101227	7.2078598714324755
VCVFCVF	7	authentic	9.005403766642073e-05	6.841615476477592
VCVFCVF	7	assemble	0.005841890755916287	6.077642243349034
VCVFCVF	7	appendage	0.0015934948914908783	3.912023005428146
VCVFCVF	7	epigram	0.003616830813412727	2.302585092994046
VCVFCVF	7	autograph	0.002608990087274284	6.473890696352274
VCVFCVF	7	abattoir	0.008145678043325229	1.791759469228055
VCVFCVF	7	evensong	0.0018309489519877035	0.6931471805599453
VCVFCVF	7	aforesaid	0.0053444068325422065	0.6931471805599453
VCVFCVF	7	alumnus	0.01951711452561104	5.697093486505405
VCVFCVF	7	adoptive	0.0006493176971406763	6.699500340161678
VCVFCVF	7	apartheid	0.0016659390966596316	6.897704943128636
